date,user_name,text
2020-06-10,digital_trans4m,All mobile operators vulnerable to denial of service and fraud through GTP protocol - VanillaPlus #IoT #Security CC:@Ronald_vanLoon
2020-06-10,Intel_Jonathan,"Half of Enterprises Have No Dedicated Staff, Processes or Policies for IoT Security http://upflow.co/l/0CFX"
2020-06-10,SuriyaSubraman,IoT Security Market How the Industry Will Witness Substantial Growth in the Upcoming years to 2027 http://dlvr.it/RYP1YV #iot #data #internetofthings
2020-06-10,UK_CIF,Government to fund nine advanced security projects https://www.computerweekly.com/news/252484449/Government-to-fund-nine-advanced-security-projects #cloud #IOT 
2020-06-10,paulinetaylor85,"Half of Enterprises Have No Dedicated Staff, Processes or Policies for IoT Security http://upflow.co/l/A9OU"
2020-06-10,Chromesthete,People keep referring to #cryptocurrencies and #blockchain as #web3. But it ain't really web 3 unless there are no data monopolies. It's not enough for security to exist only on-chain. The world and the coming age of IoT demand a network OS for data ownership by default. #elastOS
2020-06-10,TamaraMcCleary,Security concerns putting brakes on #IoT deployments by enterprises https://www.teiss.co.uk/enterprise-iot-deployments-security-concerns/ #cybersecurity
2020-06-10,digital_trans4m,Supporting the UK in becoming a leading global player in cybersecurity #IoT #Security https://community.arm.com/technology/company/b/blog/posts/supporting-the-uk-in-becoming-a-leading-global-player-in-cybersecurity
2020-06-10,GabyTreiband,Interesting approach #IoT #Security Is a Mess. #Privacy 'Nutrition' Labels Could Help
2020-06-10,IoTBreakthrough,IoT Security Is a Mess. Privacy 'Nutrition' Labels Could Help https://buff.ly/3dObzF4
2020-06-10,RayWitselHA,I blocked 11067 ads. That is 6.17% of my internet traffic. #PiHole #Security Status:(Offline) #IOT #SmartHome
2020-06-10,software4iot,NEW Security Challenges and Approaches in Internet of Things by Sridipta Misra P #ConnectedDevices #DigitalTransformation #technology
2020-06-10,Adam_K_Levin,"As millions of employees across the world work from home because of the Covid-19 pandemic, IoT security has become more critical than ever as cybercriminals look to exploit the situation. "
2020-06-10,hdlf,"Payments providers combat the conflict between security, user experience https://buff.ly/3d2irik vía @Fintech News #CyberSecurity #fintech #Finance #martech #digitalpayment #BigData #legaltech #IoT"
2020-06-10,Mazebolt,IoT Security in the Era of COVID-19 #Cybersecurity #internetofthings #security via http://twinybots.ch
2020-06-10,iotosphere,IoT Security Market How the Industry Will Witness Substantial Growth in the Upcoming years to 2027 
2020-06-10,digital_trans4m,UpNp Vulnerability Could Affect Billions of IoT Devices - http://BankInfoSecurity.com #IoT #Security CC:@Ronald_vanLoon
2020-06-10,Fisher85M,1.5 Trillion #SmartCity #Market by 2020 {Infographic} #CyberSecurity #Industry40 #startups #IIoT #Security @fisher85m #fintech #IoT #BigData #innovation #Healthcare
2020-06-10,blamer,A privacy/security template for IoT reviewers 
2020-06-10,NodleTeam,Let us help you keep your workfoce safe with the Nodle M1. This wearable allows for easy social distancing in the workplace to #StopTheSpead of COVID-19. Learn more at: https://cnto.io/LH1lcAeZv #privacy #covid19 #security #contacttracing #bluetooth #Opensource #privacybydesign
2020-06-10,kuno_ichi,つながる工場、サイバー攻撃7倍 IoTでリスク高まる：日本経済新聞 https://www.nikkei.com/article/DGXMZO60219190Q0A610C2MM8000/ #security
2020-06-10,InsightCDCT,"Join Insight experts Wed., June 17, at 11 a.m. ET on LinkedIn Live to discuss transforming networking and security solutions to meet the unique challenges posed by the Internet of Things (IoT). Which aspect of IoT readiness are you most interested in? https://bit.ly/3dGZ11T"
2020-06-10,robbie_robbins,"Anyone in my network that is interested in #pentest #redteam #blueteam #dfir #threathunting #firmwaresecurity #iotsecurity You will not want to miss our tech talk ""How to Weaponize a Vulnerability"" on July 1, 2020. Free registration: "
2020-06-10,digitoktav,"Look @xathrya_ , good choice Man! Let's explore the ESP32 then! HackerBoxes Approved. BBQ-ing + IoT and ICS Security Research is a perfect combination. I'll provide the food and the place! Deal? "
2020-06-10,unisys_security,"According to McKinsey, businesses using #IoT technologies have increased from 13% in 2014 to 25% today. Is your company IoT enabled? Join Unisys' Chris Blask and Brandon Witte, CEO of Sightline Systems, to explore #security in IoT. https://bit.ly/2UvEiHa"
2020-06-10,AV_Comparatives,"In cooperation with @PC_Magazin, AV-Comparatives releases report of consumer broadband router security test. Internet of Things (IoT) testing continues with in-depth analysis of security features in popular home Wi-Fi routers. https://www.av-comparatives.org/router-test-2020/ https://www.pc-magazin.de/ratgeber/router-sicherheit-test-2020-ergebnisse-tabelle-3201568.html"
2020-06-10,Bingy,"The Register ""An Internet of Trouble lies ahead as root certificates begin to expire en masse, warns security researcher"" https://www.theregister.com/2020/06/10/iot_trouble_root_certificates_expire/ via @theregister #rootcertificates #CA #IoT #security #infosec #certs"
2020-06-10,comsec,"Shadow #IoT Devices A Major Concern For Corporate Networks, Infoblox Research Finds http://dld.bz/hYb39 #security #CISO"
2020-06-10,OrdoFibonacci,Modeling and Assessment of IoT Supply Chain Security Risks https://youtu.be/Pm3xDjbw0Lo via @YouTube
2020-06-10,TamaraMcCleary,Securing #IoT requires a shift to a security fabric https://www.csoonline.com/article/3543073/securing-iot-requires-a-shift-to-a-security-fabric.html #CSO #CyberSecurity
2020-06-10,CyberSecurity32,#CyberSecurity #StartUp A layered defense #CyberSecurity #security #appsec #infosec #cyberattacks #malware #hacking #tech #cybercrime #IoT #IIoT
2020-06-10,LogZilla,Dependency on digital connectivity is real – do you know what remains vital to grow our connected world? https://bit.ly/34POK0f #Data #Cyber #SupplyChain #AI #DataPrivacy #Breach #Security #WiFi #5G #IoT #IIoT #WiFi6 #BigData
2020-06-10,BuildIoT,Microsoft #Azure Sphere’s $100K IoT Hacker #Bounty Challenge #AzureSphereOS #Microsoft #security #MSBuild
2020-06-10,digital_trans4m,"DesignNews Brief: What's sustaining the economy, zero touch IOT, the end of the world as we know it - DesignNews #IoT #Security CC:@Ronald_vanLoon"
2020-06-10,SoftClouds,Key #IOT Developments Improving the Property Industry https://hubs.ly/H0rlC0Y0 #InterntofThings @analyticsinme @iotforall @iotguide @IoTSecurity @davidgsIoT @IOThing @Semiotis @IoT_tt @IOTSWC @TheIoTCloud @IIConsortium @TheIoTCloud @iot_edge
2020-06-10,okerainc,"RT @CSOonline In the wake of the #COVID19 crisis, @CyberSolarium issued new #cybersecurity recommendations for the US government, targeting #IoT and #socialmedia https://bit.ly/3fe9jaL #IoTsecurity #cybercrime"
2020-06-10,vlcmtech,"Security pros need to double down around prevention of lateral movement by attackers, especially if IoT devices are connected to the network. "
2020-06-10,SecurityTube,Embedded/IoT Linux for Red-Blue Teams: Course Introduction https://bit.ly/3fybdE7
2020-06-10,software4iot,WHID - AN USB RUBBERDUCKY http://bit.ly/2RuVfBc #IoTSecurity #IoT
2020-06-10,mrugesh29,Meeting 5G’s Extreme #IoT #Security Demands with Network-Based Solutions 
2020-06-10,globalsign,"If you’re evaluating an #IoT proof of concept project, and haven’t thought about #IoTSecurity, think again. Join the #GlobalSign IoT #DevPortal and see what you’re missing. https://okt.to/Nf2l3w"
2020-06-10,unisyscorp,"New survey finds half of enterprises have no dedicated staff, processes or policies for #IoT #security https://bit.ly/2ABiTFw via @securityblvd"
2020-06-10,brent_BWD,IoT Security News: Pending implosion of IoT device failures as massive Root Certificate expirations loom http://ow.ly/OIQq30qOrlf via @TheRegister #IoT #security #certificate #internet #securityupdates
2020-06-10,SMontigaud,IoT Security needs to be the bedrock of Smart City Development 
2020-06-10,GlobalNTT,Weaponisation of IoT and CMS applications under attack – these are just some of the challenges security teams face. Listen to our podcast with @enterprise_time to hear more:
2020-06-10,IoTInformer,Billions of devices affected by UPnP vulnerability – Naked Security 
2020-06-10,phukienoto_com,This Device Is Smarter Than Me: Enhancing IoT Security https://www.iotforall.com/enhancing-iot-security/ #iot
2020-06-10,smartest_home,Garage Door opened at 20:20. #homeautomation #IoT #security #smarthome
2020-06-10,HealthITsec,UpNp Vulnerability Could Affect Billions of IoT Devices 
